1157 	 MED
1232 	 ADM
1191 	 MED
1159 	 MED
1144 	 MED
1152 	 MED
1105 	 NUR
1295 	 NUR
1109 	 NUR
1114 	 NUR
1115 	 NUR
1098 	 ADM
1181 	 NUR
1164 	 NUR
1116 	 NUR
1193 	 NUR
1142 	 NUR
1149 	 NUR
1179 	 ADM
1168 	 MED
1196 	 NUR
1365 	 PAT
1320 	 PAT
1363 	 PAT
1374 	 PAT
1393 	 PAT
1190 	 NUR
1261 	 NUR
1378 	 PAT
1305 	 PAT
1352 	 PAT
1377 	 PAT
1130 	 MED
1148 	 MED
1383 	 PAT
1327 	 PAT
1323 	 PAT
1391 	 PAT
1399 	 PAT
1395 	 PAT
1238 	 NUR
1246 	 NUR
1332 	 PAT
1207 	 NUR
1373 	 PAT
1210 	 NUR
1245 	 NUR
1100 	 NUR
1108 	 NUR
1260 	 MED
1209 	 ADM
1307 	 PAT
1221 	 MED
1205 	 NUR
1202 	 NUR
1362 	 PAT
1385 	 PAT
1658 	 ADM
1702 	 PAT
1660 	 MED
1769 	 PAT
1701 	 PAT
1401 	 PAT
1625 	 NUR
1416 	 PAT
1613 	 NUR
1485 	 NUR
1460 	 PAT
1535 	 ADM
1525 	 ADM
1469 	 PAT
1547 	 PAT
1784 	 PAT
1629 	 NUR
1671 	 ADM
